                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.6704,                0.88817,                 1.4539,                0.93058,                0.93902,                 0.9747,                0.60277,                  1.445,                0.76617,                 1.0956,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.5919,                0.85815,                 1.4274,                0.93922,                0.92507,                 0.9723,                0.60647,                 1.4406,                0.76399,                 1.0946,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.5362,                0.82844,                 1.3755,                0.94635,                 0.9297,                0.96817,                0.61273,                 1.4533,                0.76293,                 1.0984,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.5174,                0.80728,                 1.3341,                0.93263,                0.89719,                 0.9713,                 0.6136,                 1.4593,                0.76243,                 1.1015,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.6042,                0.86478,                 1.4358,                0.93423,                 0.9091,                0.96967,                0.60154,                 1.4695,                0.75694,                 1.1003,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.6489,                 1.1515,                 1.2876,                0.93101,                 0.9016,                0.96468,                 0.5921,                 1.4887,                0.76303,                 1.1056,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.6128,                 1.0116,                 1.2696,                0.91121,                0.89372,                0.95518,                0.58733,                 1.5068,                0.78139,                 1.1135,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.5434,                0.97437,                  1.215,                0.91152,                0.88765,                0.94959,                0.58108,                 1.5467,                0.80767,                 1.1277,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.6362,                 1.0094,                 1.2796,                0.88457,                0.86688,                0.94511,                0.55738,                 1.6027,                0.83537,                 1.1477,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.5636,                0.95556,                 1.2514,                0.89939,                0.85914,                0.94856,                0.53393,                 1.6877,                0.85375,                 1.1739,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.6378,                0.92457,                 1.2423,                0.90047,                0.91097,                0.95516,                0.52488,                 1.7304,                0.85843,                 1.1822,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.5445,                 0.8989,                    1.2,                0.94031,                 0.8912,                0.96509,                 0.5378,                 1.7065,                0.84487,                 1.1689,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.4499,                0.86392,                 1.2052,                 0.9324,                0.90116,                0.96976,                0.55124,                 1.6575,                0.83238,                 1.1502,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.4985,                0.84163,                 1.1932,                0.94894,                0.89749,                0.97299,                0.57172,                  1.606,                0.81651,                 1.1312,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.5273,                0.86325,                 1.2012,                 0.9709,                0.89634,                0.97751,                0.58869,                  1.571,                0.80341,                  1.118,             4.9677e-05,             4.9677e-05,             4.9677e-05
