iter	Passed	Remaining
581	3001	2155
582	3006	2150
583	3010	2144
584	3015	2139
585	3020	2133
586	3025	2128
587	3029	2123
588	3035	2117
589	3039	2112
590	3044	2106
591	3049	2101
592	3054	2096
593	3058	2090
594	3064	2085
595	3069	2080
596	3074	2075
597	3079	2070
598	3084	2065
599	3089	2059
600	3093	2053
601	3098	2048
602	3102	2042
603	3107	2037
604	3111	2031
605	3116	2026
606	3121	2021
607	3125	2015
608	3129	2009
609	3134	2004
610	3139	1999
611	3144	1993
612	3149	1988
613	3153	1982
614	3158	1977
615	3163	1971
616	3168	1966
617	3174	1961
618	3178	1956
619	3183	1951
620	3188	1945
621	3192	1940
622	3198	1935
623	3202	1929
624	3206	1923
625	3211	1918
626	3216	1913
627	3221	1908
628	3225	1902
629	3230	1897
630	3235	1891
631	3239	1886
632	3244	1881
633	3249	1875
634	3254	1870
635	3258	1864
636	3263	1859
637	3268	1854
638	3273	1849
639	3278	1844
640	3284	1839
641	3288	1833
642	3293	1828
643	3298	1823
644	3302	1817
645	3306	1812
646	3312	1807
647	3316	1801
648	3322	1796
649	3327	1791
650	3331	1786
651	3336	1780
652	3341	1775
653	3345	1770
654	3350	1764
655	3355	1759
656	3360	1754
657	3365	1749
658	3369	1743
659	3374	1738
660	3379	1733
661	3384	1727
662	3388	1722
663	3394	1717
664	3398	1711
665	3403	1706
666	3408	1701
667	3412	1696
668	3417	1690
669	3423	1686
670	3429	1681
671	3433	1675
672	3438	1670
673	3442	1665
674	3447	1660
675	3452	1654
676	3458	1649
677	3463	1644
678	3468	1639
679	3473	1634
680	3478	1629
681	3483	1624
682	3487	1618
683	3493	1613
684	3497	1608
685	3501	1602
686	3507	1597
687	3511	1592
688	3516	1587
689	3520	1581
690	3525	1576
691	3529	1571
692	3533	1565
693	3538	1560
694	3543	1554
695	3547	1549
696	3552	1544
697	3557	1539
698	3562	1534
699	3567	1528
700	3572	1523
701	3576	1518
702	3582	1513
703	3587	1508
704	3592	1503
705	3598	1498
706	3603	1493
707	3608	1488
708	3612	1482
709	3617	1477
710	3622	1472
711	3627	1467
712	3631	1461
713	3637	1457
714	3642	1451
715	3647	1446
716	3651	1441
717	3655	1435
718	3660	1430
719	3665	1425
720	3669	1419
721	3673	1414
722	3678	1409
723	3684	1404
724	3690	1399
725	3695	1394
726	3699	1389
727	3704	1384
728	3708	1378
729	3713	1373
730	3718	1368
731	3722	1363
732	3727	1357
733	3732	1352
734	3736	1347
735	3741	1342
736	3746	1336
737	3751	1331
738	3756	1326
739	3761	1321
740	3766	1316
741	3771	1311
742	3776	1306
743	3780	1300
744	3785	1295
745	3790	1290
746	3795	1285
747	3799	1280
748	3804	1274
749	3808	1269
750	3813	1264
751	3817	1259
752	3822	1253
753	3826	1248
754	3831	1243
755	3836	1238
756	3840	1232
757	3845	1227
758	3849	1222
759	3854	1217
760	3858	1211
761	3863	1206
762	3868	1201
763	3872	1196
764	3877	1191
765	3883	1186
766	3887	1181
767	3892	1175
768	3896	1170
769	3901	1165
770	3906	1160
771	3910	1155
772	3915	1149
773	3920	1144
774	3925	1139
775	3930	1134
776	3934	1129
777	3938	1123
778	3943	1118
779	3948	1113
780	3953	1108
781	3957	1103
782	3962	1098
783	3967	1093
784	3972	1088
785	3977	1082
786	3982	1077
787	3987	1072
788	3992	1067
789	3996	1062
790	4001	1057
791	4005	1052
792	4010	1046
793	4015	1041
794	4020	1036
795	4024	1031
796	4029	1026
797	4033	1021
798	4038	1015
799	4043	1010
800	4048	1005
801	4052	1000
802	4057	995
803	4062	990
804	4067	985
805	4072	980
806	4077	975
807	4081	969
808	4085	964
809	4091	959
810	4095	954
811	4100	949
